id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,scenarios
0,pv_KH,solar,671,3.6,0,30,0.05,0,0,0.001,KH,800,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports,KH_LS_gas,KH_LS_RE,Cambodia_gas,Cambodia_RE"
1,pv_LAN,solar,671,3.6,0,30,0.05,0,0,0.001,LAN,800,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports"
2,pv_LAS,solar,671,3.6,0,30,0.05,0,0,0.001,LAS,800,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports,KH_LS_gas,KH_LS_RE"
3,pv_VH,solar,671,3.6,0,30,0.05,0,0,0.001,VH,2000,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports"
4,pv_VS,solar,671,3.6,0,30,0.05,0,0,0.001,VS,2000,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports"
5,pv_CACE,solar,671,3.6,0,30,0.05,0,0,0.001,CACE,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
6,pv_CACW,solar,671,3.6,0,30,0.05,0,0,0.001,CACW,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
7,pv_CACN,solar,671,3.6,0,30,0.05,0,0,0.001,CACN,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
8,pv_MAC,solar,671,3.6,0,30,0.05,0,0,0.001,MAC,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
9,pv_NAC,solar,671,3.6,0,30,0.05,0,0,0.001,NAC,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
10,pv_NEC,solar,671,3.6,0,30,0.05,0,0,0.001,NEC,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
11,pv_SAC,solar,671,3.6,0,30,0.05,0,0,0.001,SAC,200,0,0,pv_connection,solar,"thailand,thailand_gas,thailand_imports"
12,pv_TH,solar,671,3.6,0,30,0.05,0,0,0.001,TH,2000,0,0,pv_connection,solar,"mekong,mekong_gas,mekong_imports"
13,wind_KH,wind,986,29.5,0,25,0.05,0,0,0.001,KH,800,0,0,onshore_wind_connection,wind,"mekong,mekong_gas,mekong_imports,KH_LS_gas,KH_LS_RE,Cambodia_gas,Cambodia_RE"
14,wind_LAN,wind,986,29.5,0,25,0.05,0,0,0.001,LAN,800,0,0,onshore_wind_connection,wind,"mekong,mekong_gas,mekong_imports"
15,wind_LAS,wind,986,29.5,0,25,0.05,0,0,0.001,LAS,800,0,0,onshore_wind_connection,wind,"mekong,mekong_gas,mekong_imports,KH_LS_gas,KH_LS_RE"
