id,scenario_name,resolution,allowance,firstyear,finalyear,nodes,lines,networksteps_max,type,initial_pop_filename
0,KH_LAS_VS_gas,1,0.00002,2020,2029,"KH,VS,LAS","KH-VS,KH-LAS,VS-LAS",4,single_time,
1,KH_LAS_VS_RE,1,0.00002,2020,2029,"KH,VS,LAS","KH-VS,KH-LAS,VS-LAS",4,single_time,
2,mekong_imports,1,0.00002,2020,2029,"KH,TH,VS,VH,LAN,LAS,CH_I,MY_I,MM_I","KH-TH,KH-VS,LAN-TH,LAS-TH,KH-LAS,VS-LAS,LAN-VH,VH-VS,LAS-LAN,VH-CH_I,MY_I-TH,MM_I-TH",4,single_time,
3,mekong,1,0.00002,2020,2029,"KH,TH,VS,VH,LAN,LAS","KH-TH,KH-VS,LAN-TH,LAS-TH,KH-LAS,VS-LAS,LAN-VH,VH-VS,LAS-LAN",4,single_time,
4,mekong_gas,1,0.00002,2020,2029,"KH,TH,VS,VH,LAN,LAS,CH_I,MY_I,MM_I","KH-TH,KH-VS,LAN-TH,LAS-TH,KH-LAS,VS-LAS,LAN-VH,VH-VS,LAS-LAN,VH-CH_I,MY_I-TH,MM_I-TH",4,single_time,
5,thailand,1,0.00002,2020,2029,"SAC,CACW,MAC,CACE,CACN,NAC,NEC","SAC-CACW,CACW-MAC,MAC-CACE,MAC-CACN,CACN-NAC,CACN-NEC,NAC-NEC",4,single_time,
6,thailand_gas,1,0.00002,2020,2029,"SAC,CACW,MAC,CACE,CACN,NAC,NEC,MY_I,MM_I,KH_I,LAS_I,LAN_I","SAC-CACW,CACW-MAC,MAC-CACE,MAC-CACN,CACN-NAC,CACN-NEC,NAC-NEC,SAC-MY_I,NAC-MM_I,CACE-KH_I,NEC-LAS_I,NAC-LAN_I",4,single_time,
7,thailand_imports,1,0.00002,2020,2029,"SAC,CACW,MAC,CACE,CACN,NAC,NEC,MY_I,MM_I,KH_I,LAS_I,LAN_I","SAC-CACW,CACW-MAC,MAC-CACE,MAC-CACN,CACN-NAC,CACN-NEC,NAC-NEC,SAC-MY_I,NAC-MM_I,CACE-KH_I,NEC-LAS_I,NAC-LAN_I",4,single_time,
8,TH_LA_gas,1,0.00002,2020,2029,"TH,LAN,LAS","LAN-TH,LAS-TH",4,single_time,
9,TH_LA_RE,1,0.00002,2020,2029,"TH,LAN,LAS","LAN-TH,LAS-TH",4,single_time,
10,thailand_min_imports,1,0.00002,2020,2029,"SAC,CACW,MAC,CACE,CACN,NAC,NEC,LAS,LAN","SAC-CACW,CACW-MAC,MAC-CACE,MAC-CACN,CACN-NAC,CACN-NEC,NAC-NEC,NEC-LAS,NAC-LAN",4,single_time,
11,ThaiNode,1,0.00002,2020,2029,"TH","",4,single_time,
12,Cambodia_gas,1,0.00002,2020,2029,"KH","",4,single_time,
13,Cambodia_RE,1,0.00002,2020,2029,"KH","",4,single_time,
14,KH_LS_gas,1,0.00002,2020,2029,"KH,LAS","KH-LAS",4,single_time,
15,KH_LS_RE,1,0.00002,2020,2029,"KH,LAS","KH_LAS",4,single_time,
16,ThaiRE,1,0.00002,2020,2029,"TH","",4,single_time,
